gene	KEGG_ko
gene1	K02128
gene2	K04988
gene3	K01363
gene4	K02638
gene5	K02875
gene6	K00127
gene7	K03782
gene8	K23531
gene9	K04960
gene10	K02390
gene11	K11427
gene12	K16365
gene13	K01581
gene14	K07004
gene15	K02424
gene16	K00412
gene17	K03257
gene18	K21517
gene19	K02355
gene20	K02967
gene21	K02262
gene22	K08332
gene23	K02992
gene24	K00425
gene25	K13998
gene26	K14997
gene27	K02950
gene28	K20274
gene29	K02877
gene30	K05961
gene31	K02935
gene32	K16290
gene33	K03651
gene34	K19611
gene35	K03553
gene36	K11929
gene37	K21430
gene38	K10251
gene39	K12544
gene40	K15475
gene41	K22316
gene42	K03456
gene43	K15223
gene44	K01886
gene45	K00008
gene46	K11533
gene47	K15515
gene48	K07252
gene49	K14058
gene50	K09568
gene51	K04077
gene52	K16088
gene53	K15503
gene54	K03521
gene55	K21567
gene56	K09017
gene57	K03522
gene58	K03236
gene59	K17677
gene60	K24027
gene61	K00114
gene62	K04088
gene63	K03073
gene64	K01365
gene65	K12830
gene66	K02864
gene67	K02002
gene68	K10253
gene69	K00789
gene70	K22262
gene71	K08093
gene72	K07182
gene73	K01519
gene74	K03010
gene75	K22857
gene76	K01133
gene77	K11688
gene78	K02357
gene79	K17741
gene80	K01166
gene81	K00784
gene82	K24937
gene83	K02601
gene84	K03599
gene85	K01470
gene86	K00262
gene87	K22558
gene88	K02126
gene89	K02027
gene90	K16818
gene91	K08591
gene92	K18990
gene93	K03100
gene94	K03545
gene95	K01951
gene96	K01768
gene97	K02946
gene98	K01710
gene99	K02600
gene100	K10843
gene101	K07246
gene102	K07493
gene103	K05569
gene104	K00499
gene105	K01356
gene106	K02001
gene107	K01534
gene108	K06006
gene109	K18649
gene110	K08282
gene111	K01358
gene112	K03596
gene113	K04087
gene114	K01052
gene115	K08301
gene116	K01975
gene117	K02519
gene118	K06907
gene119	K13936
gene120	K15444
gene121	K03431
gene122	K01735
gene123	K01940
gene124	K02108
gene125	K00059
gene126	K19962
gene127	K02652
gene128	K03821
gene129	K00832
gene130	K19382
gene131	K07137
gene132	K15692
gene133	K21060
gene134	K10203
gene135	K06893
gene136	K12543
gene137	K03520
gene138	K03284
gene139	K16465
gene140	K15285
gene141	K07658
gene142	K23737
gene143	K18439
gene144	K03011
gene145	K02906
gene146	K04567
gene147	K02109
gene148	K08195
gene149	K04739
gene150	K17893
gene151	K24288
gene152	K08288
gene153	K05802
gene154	K25144
gene155	K15270
gene156	K02024
gene157	K00528
gene158	K17285
gene159	K09698
gene160	K07250
gene161	K03529
gene162	K02498
gene163	K03673
gene164	K23995
gene165	K09007
gene166	K19706
gene167	K02951
gene168	K13829
gene169	K03262
gene170	K14645
gene171	K02399
gene172	K07279
gene173	K02956
gene174	K02895
